Tour;Length;GiftIds;TotalWeight;Weights
287;6613051.5868101;75039,54542,39676,76593,86635,15642,15185,16721,84509,32936,97299,59546,78417,30211,98796,42862,94201,19645,69761,98783,65098,65258,27040,67009,36993,25151,40851,84410,95791,59769,5343,21471,62669,33349,23063,60594,39218,12705,67976,53867,39364,52100,2943,95842,18771,31084,10193,78029,24634,72921,14491,64158,44874,29382,46761,46070,21334,31447,50158,23135,86786,35176,71887,7329,84060,8149,2754,26150,20027,66244,33087;999.698352684;25.38822696+25.64834418+1+1+13.88920686+1+1+10.19997743+34.96272971+25.40921746+45.49219304+10.44788223+46.44724198+50+1+25.22007118+14.02341263+1+27.50960047+1+23.79806897+10.32889704+1+31.24742442+6.332004836+3.257533529+1+12.97623742+1+26.91049035+42.76751363+1+16.91671031+1+31.36490629+50+11.43903147+1+18.12881095+7.724564523+1+9.266682656+20.07252457+1+8.788868222+41.82162348+9.418050618+40.519898+23.84051142+1+18.00120522+1+20.87314043+21.46896854+1+1+2.452270711+15.44493193+6.095889165+1+33.22897437+1+27.57939144+23.36360885+1+1+1+2.631515194+1+1+1
288;6496169.09096008;31992,60970,4167,6106,80982,80534,84262,1547,17882,43292,79604,41329,20707,13266,26928,39583,6682,83590,99644,59627,1630,70799,64458,34877,97733,27587,22179,58372,23210,14655,10434,30970,2484,24965,64747,11175,95778,46677,90405,33176,66835,78526,44666,23406,84267,54348,88449,1410,11040,47931,86992,85330,11277,5812,89887,50777,56577,72417,95025,62772,16686,37746,74030,89411,29926,51847,44068,29902,37226,65046,90296,75610,94909,68013,75188,20463,78120,61245;999.926042391;6.347212413+15.8889006+29.50549788+1+19.87696213+1+15.92846222+1+47.00512685+18.94013184+18.75401167+32.45763419+1+1+1+26.46551002+1+26.05619108+1+18.01574472+35.89163168+1+23.68793798+18.34715114+43.22375617+8.734884993+43.4021601+50+50+1+21.45255022+4.637393239+50+4.620208235+39.57643101+14.80711372+1+10.24385666+1+1+1+1+1+5.314539062+7.90582097+7.252930219+33.30183331+15.47808068+7.694835109+12.32726621+1+20.22152108+1+19.71078085+1+1+15.5054489+10.3760118+2.850357352+15.38927539+1+1+1+23.01650713+6.916140587+22.04905017+1+1+39.03762724+1+4.321275418+1+1+1.462335779+3.272826335+1+2.65511804+1
289;6761152.09372793;77590,36614,79109,16829,97267,3241,51366,81634,99420,7872,36096,42462,57282,70872,67489,37473,95475,84248,54120,46502,31765,66022,63532,7915,46829,247,87509,19399,74504,50118,72625,93942,49339,67420,53317,51887,61253,35151,66710,44275,56744,86339,49499,40381,76393,4549,43708,33414,87368,21655,30558,73491,59421,83438,99794,36182,17595,18111,67353,34217,48230,59184,68186,57974,74560,34652;999.766454427;46.99757326+1+1+4.413583758+1+6.844424718+15.2914752+28.82584619+40.3447952+15.83643632+50+1+9.925556148+14.82816077+42.9491651+32.12772064+1+18.72860329+1.924910492+50+1+1+1+1+1+7.635382556+32.97051513+1+13.2902137+31.13395425+15.605846+1.603022368+18.29659591+13.95758555+50+1+38.69285908+9.186147587+16.61194653+23.22652035+15.3664309+21.56280185+1+1+17.36805551+1+22.25850551+1+1+17.71688146+34.74743619+30.25515173+14.03504311+1+34.82147056+28.0905263+25.2420723+50+1+1+1+1+1+1+12.05323891+1
290;6307854.40695047;5408,24703,98277,78357,37751,59713,64320,47894,59060,87616,27796,51801,36653,35859,32205,59953,9836,75286,29521,63410,36237,75032,85017,40973,196,47982,70885,19547,98230,49739,45631,62000,892,20614,44871,20676,10784,22774,12939,57498,75743,6480,17785,62412,76925,94627,76406,38438,15243,53198,64737,24071,12377,5652,58236,16871,95593,67511,47226,59066,26540,74052,36074,59057,96613,59967,70404,65459,23057,15511;999.632447096;1+14.14315493+37.31074795+2.217834771+6.810308035+36.33227809+21.31719123+4.554400042+1+12.94225409+1+24.32011732+1+14.59149753+28.8121472+1+1+1+14.68376302+1.91826217+9.985455361+20.11302589+16.39658851+11.25378215+15.6879299+1+18.51419819+18.49186624+35.04425017+50+16.04410991+1+25.79650005+1+30.4628752+1+20.71292724+1+1+31.72359291+1+26.54719249+24.58068675+18.28393146+1+17.42577268+7.560338996+1+1+46.78093765+19.63628579+50+1+22.73269069+31.70322417+28.29832895+40.34279376+12.86643424+6.96252591+1+1+1+1+8.633911331+14.5722956+13.06982086+10.0107761+12.92573578+23.51770579+1
291;5834295.4771915;84627,72911,29445,72343,21566,31552,16319,83216,70351,1769,41483,13632,59963,63683,23780,5995,86637,75804,57242,37756,45784,99525,93719,38762,67625,27704,65492,81452,16909,7833,60095,19137,22555,50866,52308,784,8604,26880,92929,51068,86393,40796,74766,65657,3577,79219,92477,21339,89779,4737,15231;999.609823627;10.25873469+25.81426912+13.15995758+16.3667823+35.30759259+1+23.26604716+14.49564403+50+1+11.97633535+27.95837578+21.94350445+14.77539867+12.09150531+37.14986141+1+42.01999618+29.66433455+1+35.9707414+50+5.148138797+19.24777875+3.669925722+3.177705768+50+28.86626887+22.42308819+42.81941067+29.91971694+31.53180313+14.93089102+38.70231333+9.827773261+28.12771776+18.8923783+15.80063273+22.06812777+15.39131095+32.11728282+1+10.58668992+5.89524533+14.70211809+34.95778398+13.38048887+7.206152089+1+1+1
292;5950352.17076891;32664,15051,15290,35694,77249,78278,30024,15990,93197,51475,82153,54127,16430,79607,24019,91319,26910,26019,11475,37989,816,15689,53652,53591,23133,19678,43260,93740,39134,70484,89507,76481,76874,74971,31522,47586,76918,90335,83943,57048,25111,75645,22250,38264,88907,41517,20578,6966,71615,69494,45046,53032,25898,72247,6621,2493,4386,6143,78938,81038;999.729995788;50+31.87380479+31.4247288+1+33.63308145+30.1400582+30.08918708+27.95469807+7.492686489+35.31446409+29.41832406+1+3.965111798+4.745864107+1+1+19.64784973+1+1+11.73684556+1+4.287133311+33.39748962+33.55427312+11.9020254+50+1+9.468043294+1+46.09759429+14.36115337+1+1+50+1+46.33436656+5.444122689+11.25724375+1+20.41964091+1+34.38626049+1+1+1+46.35131661+1+10.91640815+26.25857716+39.3240019+26.15535941+9.129879856+1+47.40781944+1+1+50+2.840582234+1+1
293;6814267.01301482;72890,61834,61924,73334,7636,73284,43549,21329,45352,1008,26703,70038,7521,79746,95908,59104,85584,29563,87750,23376,92429,35882,34485,75711,52574,4396,4361,6868,64719,53077,85934,89367,27542,44007,84176,90785,78092,70757,82328,55308,88290,87901,33432,16642,13512,93530,58264,96329,55561,78317,76689,11315,15080,52912,4509,9510,52315,92849,3681,63762,29996,53102,37537,24167,85019,28351,5825,60893,40341,73934,61463,80950,95716,98082,61196,98254,36425,9378,83479,32820,45089,94253,57958,52072,53473,48985,52998;999.250646855;7.878643604+10.11474187+19.86078898+8.657437314+27.03865885+1+1+22.12018952+1+20.65957244+1+6.658803797+23.17929082+24.97092556+36.95198776+20.73686058+1+35.94840679+1+1+41.5625317+4.217089992+30.48981098+1+38.76038955+4.955398698+21.36457791+2.606499664+1+1+39.13440044+13.01934163+6.977204622+1+19.39938111+1+21.93238457+1+1+4.413555284+1.301701701+18.39912975+22.019506+20.30111478+1+1+1+7.467461185+33.74353626+1.646065134+1+1+3.434179712+6.680614184+1+50+20.41705977+1+32.01876343+23.34064952+10.7524126+12.35725609+28.21830051+12.54983835+10.86622719+1+1+21.91661002+1+1+1+1+3.953101768+14.25005808+38.35904272+1+1+14.02405995+29.14607652+1+1+1+8.770564731+1+1+1+4.708442865
294;6538427.1534564;93389,12767,76800,50257,61121,84986,79947,7236,19787,15127,40485,24253,11548,76749,81770,54959,86975,59039,10468,80341,32346,57075,17993,10671,97059,15501,41826,91489,41949,99184,8447,64105,10597,89912,78626,63185,23361,95810,52928,20295,4796,18799,6885,83547,3506,77940,37646,86154,13115,75438,57828,45268,3534,97387,66391,21141,5754,22278,40229,48998,11411,25396,21742,84045,44542,34035;999.121842473;20.4085915+36.83514019+1+30.45221886+10.27647323+14.85658308+6.166409444+50+10.39697963+1+5.864382986+1.612145351+5.23596613+32.26539863+2.373502142+15.23766853+1+2.960940515+1+12.93680785+11.16134841+1+7.950820859+39.31270651+1+30.00679233+35.46166057+23.04323463+1+30.09028238+13.69727308+7.283985531+13.39750725+32.64926775+20.23208477+47.37349686+5.854471652+4.730460657+26.83794035+12.95382283+1+26.89410846+13.10170189+13.21834159+34.55758213+30.67028596+1+1+22.35924927+17.71295958+10.44116225+46.47111005+42.64095396+24.74904803+12.76344113+28.58130647+27.31626202+1+1+1+1+7.884697666+2.341816651+1.501450879+1+1
295;5648676.85817043;57768,10734,46451,31755,21222,68378,31509,71823,35527,53980,47700,28837,46653,59870,74389,3114,61179,20301,78002,67892,17173,94741,94903,78079,54449,84763,39499,46815,98292,46406,92550,48576,73387,33744,3172,8495,32150,15790,95344,17865,70477,99658,23721,25278,9707,11004,61312,1941,9426,18313,43448,52515,71683,40919,6583;999.507837556;44.26329208+26.13486441+28.68680575+21.31900176+39.63303766+4.355430865+2.001731119+5.296573909+11.43173915+39.31670061+21.38971292+50+1+5.552353546+1+24.18581782+4.316843011+6.869820348+19.83524338+14.5462035+6.862974565+33.36817125+2.648786831+33.47943333+12.44146944+41.01153807+29.10839641+13.6731648+13.60421292+20.65658342+3.272462809+50+11.87880075+1.084200461+43.46631955+20.18500479+10.05610349+1+43.47112214+11.21069575+29.63735736+18.85148324+11.55796639+4.128938278+32.60197754+50+50+16.08480813+1+1+1+6.637068026+1.393625978+1+1
296;6880960.63842211;21295,96692,74937,87464,66522,32165,20934,75577,69002,51113,46834,84833,6813,43387,66912,25300,32309,27051,93819,84619,43423,15380,23217,98475,8593,8114,76632,70267,45888,97560,58870,44611,36897,78349,26419,75975,56867,66145,11690,37730,2811,65950,89020,6309,21240,27988,66748,95713,66985,96284,73581,50615,27436,71186,60768,99852,82290,86861,52565,15618,29313,93659,53999,42286,51688,95222,81297,27090,59172,10947,59647,65922,54206,9618,891,11695,16692,77815,11661,25567;999.054267397;8.11332796+10.30231504+43.95887932+17.69659128+22.68541302+14.38481021+27.35485578+17.31160661+2.142102148+3.522240475+23.61374446+20.25908437+13.47812823+12.8957943+19.27472266+8.303029741+1+7.417616588+3.978534403+22.76315388+31.98292396+50+15.48258272+9.870406116+1+1+9.183626744+3.880325793+9.05705697+1+1+30.99676392+16.22560275+50+1+19.93544445+35.71830304+1+13.03311789+1+1+1+13.81933502+1+20.58094334+1+1+36.22458748+6.783859253+1+17.32448401+8.243198182+48.76799623+1+41.35785949+1+6.857827423+7.276045642+1+37.47708334+5.783106486+2.893979272+9.550817101+2.619556322+1+16.63376145+1+25.4126044+1+1+16.33830952+1.886940598+22.75879246+24.44760686+1+1+1.830868546+4.362600144+1+1
297;5919970.20389127;83261,64591,5468,89706,89917,40943,25059,81548,97030,38259,81936,81182,50441,55900,69109,33453,11744,4441,43809,6837,1593,93870,99965,31726,81916,11312,55043,29241,29890,72455,58871,47072,79037,19503,72050,88470,68638,60707,58334,32387,12789,75662,7930,9803,35033,85559,81946,82452,27914,7314,34909,18280,69383,33140,30669,28368,95155,95501,10035;999.51310709;48.74163781+41.81506171+17.82618471+20.70831366+27.90619834+23.29282408+36.62039712+10.95557645+1+1+19.2619339+1+50+9.815932567+45.10542474+1.14451148+11.96941822+7.346161617+22.45999521+46.19099799+1+50+30.99937049+30.46432673+1+1+4.208823203+10.12168192+6.120713665+39.18092503+28.88176482+14.04001503+15.38397191+5.438678022+29.18629909+1+26.45012225+27.3332688+15.13862711+50+9.840461189+33.63778141+1+1+1.622957516+21.00898855+21.02645976+1+1+12.77618001+1+25.23213187+19.4283334+1+1+1+10.10279253+1+4.727863181
298;6005475.19731034;38061,61321,93081,96752,28071,47337,91924,69910,60633,53334,47378,28132,66959,10163,48764,10590,31514,96875,61132,72946,58302,76789,91972,86415,38093,43574,46889,53447,90996,54670,22036,23248,1881,81509,27452,56898,2812,37258,23047,61575,82518,67841,79763,26473,18891,10575,87805,31174,19275,14051,85431,73482,64371,8828,45025,61761,40633,190,34448,18412,51893,54581,55167,13383,7827,3441,40562,24460,68458,17329,61808,41261,30384,64878,8460;999.996607096;25.02058587+29.70029281+17.98989883+1+17.16316789+1+8.692480107+19.538328+1+35.60842893+8.71977314+1+1+6.964643256+1+1+1+1+45.80644304+36.9658184+19.35815638+1+1.280533932+1+8.900614102+40.14138953+25.92021395+26.49085658+28.08360547+4.740044646+1+1+40.81366824+5.404167741+27.57192339+19.98108377+45.08022483+1+1+11.42848161+1+15.42513234+1+17.00742803+7.833829186+21.317882+36.97989739+2.825859068+1+1+1+1+2.400319759+3.486548242+23.7468836+8.380618325+26.55807678+1+30.2991339+37.78610326+16.86233195+39.97457782+8.397797428+1+11.27035132+50+10.73185125+1+1+1+20.81225723+3.881898594+18.65300518+1+1
299;8332036.91711179;86008,26384,3153,22944,43112,14073,62297,10543,12345,13914,64879,78296,65969,64608,89576,71341,27891,11300,48803,57644,48645,553,58682,52852,17927,5862,443,67364,39486,71777,12341,75216,48809,6267,25535,12534,54640,58095,47353,57956,23820,94389,96716,8755,13683,86224,62850,28488,23151,40976,64800,95321,29022,143,3118,84846,50518,58389,48533,98545,13758,54922,64037,99302,35641,66035,52636,90441,4625,94208,82583,31029,92735,39960,76524,2314,47078,82551,4692,24264,63607,81735,83839,78800,79144,53184,80582,4687,9900,11724,35143,60612,22033,69119,37590,86093,36678,531,14025,93670;999.316759225;1+11.65049435+1+4.191439046+32.18718189+22.79477214+33.26002624+31.76001828+40.94098694+11.85215019+1+37.67471802+1+1+1+23.28396833+36.74182342+1+1.37126083+1+1+1+2.110043063+1+29.20681515+1+21.81111163+23.16884827+1+1+18.11395024+21.34737263+1+1+1+18.57348197+46.07188818+49.02169748+1+24.52160847+1+1+1+11.59485529+1+17.07350783+1+1+6.919657711+1+17.1945254+1+24.00704208+1+23.00722914+1+5.97671491+6.393915378+23.04945462+1+7.53688362+1+11.95049692+1+1+10.33058826+1+2.295569272+17.96299857+37.82738335+10.54479014+1+14.68373426+15.55177401+5.361465912+1+1+1+7.890365528+15.55732075+5.123608758+10.3661669+4.036456143+20.03628953+4.26738481+32.57151345+8.691958393+3.218407643+1+1+14.55309488+14.0693702+1+2.016578808+1+1+1+1+1+1
300;6294097.17125268;68204,64318,31583,90101,26578,70140,12512,30573,57074,28127,73244,9136,70300,66705,4490,62215,40152,801,91092,99856,61354,3605,35548,50855,90025,72069,13452,5537,54919,66688,83651,44659,15174,81405,6436,14164,40787,77358,97866,61348,81064,78027,52646,85585,34465,34413,53000,56552,33011,7786,95116,73001,9658,26742,47418,30067,32516,13789,28844,40046,16552,34257,88763,46981,15172,1939;999.998767177;25.45172108+28.54555869+24.23757635+18.61836878+18.96623171+41.98537557+40.78268853+13.0597865+23.49131582+29.14497753+14.61758932+5.346693725+1+20.76817045+28.32534302+11.06344777+22.94550321+14.18576111+24.78508222+12.98782696+13.58000578+14.40127766+30.42077876+14.7808157+4.805431242+12.76493776+15.84354975+6.337650283+23.76920649+34.59039208+1+14.64958826+22.21150103+22.4994582+1+38.61656184+1+1+1+1+24.9825046+1+1+11.44223257+50+21.96280563+1+16.22031719+9.916249917+1+1+25.74461084+42.99861186+29.08500157+3.581666365+5.788423145+42.98710292+1+1+3.576663856+1+1+1+4.132403534+1+1
301;6767552.36788703;12362,60697,80735,11089,53261,82375,29474,5211,98227,3364,93757,15674,47699,29163,54088,41497,61673,56093,94212,92275,83221,40377,40853,24453,76566,72171,89477,57298,79499,36121,14376,97022,76089,31473,95325,39985,94971,5203,1103,99538,47201,20617,86396,45286,99771,36708,55249,66116,3960,56420,67096,81594,69406,54827,89429,35283,46154,8813,73073,26866,67113,65830,61355,84823,17754,26435,96337,50534;999.644105871;1+21.30071869+1+14.86060738+24.29495685+50+19.28335791+24.30117944+1+1+5.356803143+15.24886196+34.18392461+1+26.54850231+1.622523103+21.75670217+1+27.1220985+1+10.10214161+1+7.192377197+25.28132044+1+3.839370025+25.44587702+24.7975346+48.54271427+1.320443448+28.23403102+3.694094573+1+3.360358989+16.79219513+23.93680867+2.155229596+1+1+1+50+1+30.09441543+10.95147315+37.14213793+42.23788024+25.56552954+1+19.98873486+1+43.96120969+15.43569227+16.17327707+1+31.62436527+13.96466518+2.452185252+30.7191844+48.00072421+9.965630582+24.02176848+1+5.618630976+9.151868687+1+1+1+1
302;6595789.34889541;46559,36877,76597,98776,55700,13514,77396,40247,6254,31418,52635,8673,58910,32339,4581,42876,98445,37857,3078,53201,54101,51921,18133,5223,74992,70703,37566,27083,15190,80656,69428,5487,81917,78725,9843,88502,96272,15136,89171,80603,26855,83593,97817,10210,27837,55016,70150,14099,76561,3716,17940,25819,38469,47356,94833,16668,25823,5508,62932,3040,3935,32769,850,51143,97639,30380,52040,80890,13663,82401,57840,96760,25783,93750,42163,48417,69948,6917,77636;999.965186158;1+13.50327274+28.67245918+50+1+17.18809578+2.605262472+9.352350879+1+1+43.36883287+3.966546746+15.8952432+1.272173296+1+7.078587508+1+37.33609818+1+1+39.85135498+1+1+1+28.8296215+16.35500299+29.10372657+21.79375847+5.856148271+14.87631253+1+1+1+1+1+8.630748969+1+35.89911861+12.71066437+17.37602296+5.904939558+1+1+1+16.97366889+30.75927485+23.07435878+5.374875514+17.0884972+30.86983212+1+41.91825556+1+1+23.17066422+1.963786504+36.28188179+24.23630051+44.85373359+8.750876292+43.88869748+17.51043897+1+9.839959713+22.76407136+1+1+1+1+16.06342165+3.370004953+45.31144285+6.021594266+8.433136597+21.34951478+1+1.67055509+1+1
303;6736242.13520538;27562,50087,95795,88850,55457,31515,85492,71068,28593,67477,80311,30075,71003,22151,77378,80396,38457,21413,21360,9880,89535,67674,1820,94669,42725,98342,48900,50211,72118,85713,21804,36995,52884,93952,33967,22057,1243,3656,49291,81234,12769,21830,56717,87831,94265,82803,60476,27409,97414,89657,51546,43209,37606,97758,92342,68579,38019,67843,27758,78392,86809,6288,1362,94204,53339,35505,16345,67432;999.250850698;16.68685145+50+12.03485994+14.93116574+42.15651812+20.90821797+32.16586353+15.72512266+16.92870861+15.80392824+1+19.59042543+1+1+5.69390382+1+1+35.22156194+1+1+1+14.13993344+50+24.55971363+1+18.87085862+1+20.18424965+11.15958918+31.45505411+11.12518969+25.42198754+14.08812698+7.606414612+17.24696586+1+3.403881953+7.714414395+10.64259311+16.01351909+29.63378711+29.61418778+19.27000935+32.09520417+16.17978836+1+26.22795546+41.88639949+5.314759536+7.447152235+1+1+1+1+18.37240031+8.311804724+1+1+50+9.417782863+50+50+1+1+1+1+1+1
304;6163281.21646858;1269,22009,4483,72440,73579,54654,65869,43960,71515,89212,65123,94803,28925,41580,92599,96744,10173,2329,74272,35786,48768,1635,15553,54918,33160,93644,37121,82565,29377,25005,54979,94916,83006,40202,72438,51724,74333,42908,78651,19411,1359,60210,38077,67599,17347,51858,58418,87263,70379,57829,19160,12556,99608,17447,5882,53310,64436,89252,80348,82511;999.359388503;24.76796295+18.945019+29.8759474+6.701138617+10.27247798+25.86231963+17.35181908+23.17340134+41.05502163+5.571116929+1+29.39644793+1+44.69170156+43.11385863+14.52406655+26.78683703+8.39233272+18.45480249+1+1+27.21316838+23.62885796+50+16.39792085+1+1+1+8.681195392+29.24556927+16.40707474+2.192384638+1+17.627812+7.480790607+19.87996069+26.30264251+1+30.82365901+24.68439823+17.18863787+18.63878255+19.48679103+16.3377157+34.97457906+1+1+32.35597422+8.94955941+31.80756364+35.4978349+1+12.15624265+8.618534183+1+50+5.006900752+1+3.838566795+1
305;6465091.69843532;78084,91430,91478,48770,87382,26426,43962,465,35160,7923,96106,29321,52837,3467,97962,12570,56500,89988,65811,94506,45768,99071,41703,96647,50673,13228,14030,17087,59256,19599,14009,99915,98531,89285,2768,14979,86715,4364,31100,87455,53577,94490,18234,62085,60801,68463,99624,7948,76635,63997,23487,3168,52605,63694,38896,20013,25810,82952,83635,63256,607,36631,54141,19238,59206,3618,48644,51035,63205,27431,40062,28487,33800;999.815334879;12.87270532+19.73707825+11.74829964+14.72357033+8.813726137+8.831400231+1+6.224848934+50+35.005628+1+1+1+8.823637194+11.60934545+1+11.90636259+29.8663766+18.93792157+31.43872174+28.98647463+7.042191371+37.65962845+15.49931213+20.16822109+14.12815492+30.03610583+39.16257739+29.09280759+9.60706322+10.24327646+16.34763581+1+24.03866027+24.98548418+9.665734449+14.11319151+1+1+1+39.50379051+2.384918788+21.48020153+1+1+6.167223436+30.81004337+1+1+16.96899099+1+1+10.35666107+29.17708522+10.29060182+1+9.314748921+24.41245997+16.29458694+5.094334748+20.4810651+43.05227713+1+1+18.26190358+19.24914923+28.80990232+1+1+1+1+13.38924892+1
306;6566110.37078324;6,52653,25375,78756,17735,8324,51713,61874,83410,3691,51936,42878,33121,550,48367,37305,77015,6752,78649,29282,63585,31578,56426,9331,63697,93712,82211,9252,31541,83009,99711,66548,95363,78650,86812,91675,35417,73809,64863,25155,22483,68808,80231,44795,50026,82300,17706,55261,95348,22439,56375,99366,15331,93855,45101,94902,28635,96853,56921,43290,99946,82017,42228,97078,16707,33642,3246,34455,51515,2098,52329,37255,29567,66904,32606,61888;999.494397302;38.00015126+30.64339597+50+45.73493411+20.18128841+23.86181017+11.58888177+36.55601461+5.234794538+2.298823559+1+1+1+1+1+1+1+19.97746211+13.39579974+1+1+18.51468715+11.70293208+31.56436361+26.75926354+1+26.32913984+38.32555124+1+1+1+19.69278213+8.906344105+28.26377436+16.85703473+1+10.69935668+1+42.47684738+22.74552825+2.581472124+34.62067961+5.768322177+9.670143701+1+12.48106887+11.41477724+50+11.5204832+6.567525085+24.88769895+20.74890447+1+1+1+1+16.7429325+1+18.35477709+7.327168348+1+29.2109071+1+1+1+5.883758996+1+15.51695644+25.58804533+33.40832698+20.02463324+6.864854509+1+1+1+1
307;6484534.84410948;80260,39457,69127,80695,96842,71373,79742,13143,27449,71451,80215,39017,55009,55741,64605,83355,82921,89695,57719,24248,94851,28124,14363,91386,94188,37806,20320,34960,22795,25251,28883,5424,16333,23096,91996,75972,93597,20465,37413,32217,79589,96297,5288,30687,18444,4909,77154,66490,2441,80960,33236,70546,27256,34362,48795,40051,65793,27693,96938,70704,68156,40747,9768,42288,56551,49458,659,15854,60181,62781,81697,57693,9126,88157,8579,16513;999.777797841;1+36.90457386+23.50450384+37.89436399+4.048362008+11.25713072+11.79395583+18.46415399+6.134977902+17.30863195+1+1+30.21361659+2.201400184+1+1+28.23905458+4.702535682+32.90172212+27.06806098+10.70386822+1+15.366432+1+1+1.68074708+1+6.433391628+24.43949803+16.35342132+21.04570489+29.10022648+33.97624171+1+10.03099198+1+1.422677168+1+50+1+26.40564699+10.46871053+27.78781133+7.581053885+23.87156182+12.76496873+7.638543806+13.93349967+1+11.9434165+1+1+19.87710936+3.3600118+19.20823525+34.22035636+29.51668616+1+27.14155527+6.428626846+1+33.74509604+1+22.49376897+41.00729987+7.372323082+9.14730723+23.16235243+34.23643381+8.27517737+1+1+1+1+1+1
308;5988443.21447598;46510,30732,73250,63323,56020,98033,65627,87748,72721,24918,78411,32504,1451,58349,46682,17934,52060,74423,54810,50735,60477,29242,48029,43224,19360,84847,25017,89435,38287,77564,29130,12290,75846,8738,33299,99298,27080,37531,76758,40918,7997,69576,19556,72364,73751,84218,28344,42949,70119,4225,73784,11739,9772,67766,15005,46392,3117,75037,28768;999.717782824;17.97440865+6.677970321+1+2.870571704+1+40.4576955+19.75437587+16.09946964+22.95259373+8.578345117+32.98203713+1+42.22143259+1.424130857+42.94093089+35.13282475+40.87198234+21.41905188+50+7.411602878+31.02161119+1+38.72272059+1+1+19.52215884+13.28781223+14.92895138+14.8045465+1+46.75040104+8.396516764+1+26.62886825+24.44990828+1.149868417+1+1+2.635981578+1+5.200700668+13.01506158+4.459306625+15.70002722+1+29.20669525+38.60359363+1+7.865444148+50+50+40.26797268+30.08925742+1+8.403629183+1+8.225416534+30.61190898+1
309;6196407.99874276;46446,47501,2362,43503,69172,19221,3865,11944,45114,8262,96002,61116,14227,44623,2140,60746,58535,14908,94436,75823,59778,88792,41394,25308,53194,96181,70918,34814,16045,94747,14555,28168,62896,71903,29000,1309,90716,39386,35410,8888,32908,86510,44262,36016,91160,49391,29396,32774,23538,60104,63696,74251,48217,21428,98479,4316,98431,8187,99396,56960,53890,25200,30894,75637,90918,32429,64912,57893,25815,20909,71162,60302,29906,35223,2523,37954,43914,31497,99589,51714,81199,7246,47268,84714,17602;999.848711311;30.87744539+4.092751238+12.84120841+35.50856445+1+12.08774374+8.658369181+3.34289078+19.8799896+13.07468435+1+24.408838+16.83912761+26.37082864+21.35824187+1+7.42753369+16.65459008+1.794058841+20.49476236+1+1+12.6242634+1.773042166+1+17.18265898+5.213836683+43.8547456+40.4396902+1+13.72750918+26.44245743+1+4.122186174+14.78674673+36.38792309+15.3388913+1+11.08049613+1+1+27.64277685+48.16707833+7.917996466+1.386898568+3.734122607+50+23.76267811+3.782599031+1+1+16.4608433+1+1+1+31.29944468+1+11.41351915+1+21.69850422+16.04617297+1+1+1+36.093544+1+19.08734212+27.50381423+1+8.912053087+2.706176969+1+1+46.86205479+1+1+1+1+2.204043674+1+35.3936141+2.186478907+1+4.900879859+1
310;6760839.38134238;81331,23876,6316,77823,60266,14691,95871,69546,22639,53277,10929,54733,47064,70597,80306,95539,9269,78093,97067,34330,52915,15079,80536,9030,53200,18731,89733,10887,79141,94392,22582,31156,98891,80734,81093,90600,99616,96989,29530,2934,58180,12318,47354,62782,19835,60241,96663,77021,53332,37148,591,11973,66054,87883,14662,36642,92138,71361,94023,10711,41852,30647,16613,25760,58178,54871,14999;999.324014052;20.88116006+40.45394494+36.30042369+15.77062433+19.15858361+50+40.68808832+21.83688972+1+9.287998842+25.43840376+28.3805226+9.487842924+6.904727237+14.55322961+1+1+1+5.443822118+26.67884053+1+9.17116637+37.91722686+17.05566326+23.35395168+11.66186733+17.81725124+1+4.977829422+20.8526645+46.35516607+1+20.33955331+10.59187015+18.39818073+1.560292042+5.576920834+1+21.99865429+2.710725768+1+1+4.508105878+18.18389287+1+14.17090955+1+1+1+43.02648924+14.60719529+29.75705099+50+1+1+27.9542247+41.23440653+38.78469954+1+1+27.87058145+1+13.59640092+6.606602982+2.317628678+1+5.101739287
311;6614701.47902771;93717,91166,78292,22158,45360,16456,70409,85056,97165,86782,29222,26328,5731,3685,68137,67088,77082,24908,16114,95900,70216,19384,59464,93393,45428,55539,33585,11501,42021,38147,64323,57210,96603,94361,37366,61304,9525,50776,52501,97391,63124,92033,59677,27565,85913,4409,39025,81681,24278,30249,52752,34534,13726,30281,9133,42182,22824,70470,85834,9955,22706,82305,56590,17415,87454,93571,83754,91500,81339,17305,72191;999.959921205;25.29093988+30.83978208+1+1+26.48210736+5.879642895+1+1+16.324121+9.059657276+6.979081195+11.21280824+21.75636297+18.23104114+1.182860771+13.93256943+46.2108889+1+1+1+19.7918704+19.94184041+1+33.79677123+20.6055225+33.33823549+3.500522353+1+31.45984176+21.79042754+16.06250739+1+41.39510715+19.15832036+14.1651749+1+50+2.215179465+1+39.29187337+20.38895795+24.2999651+33.98615939+6.525048583+1+1+1+14.52881731+21.95954529+38.22394102+12.91809892+1+1+29.89689807+23.13746888+16.82036653+20.05439176+3.02886877+19.72794809+9.659020504+22.58976488+32.84044158+20.70513487+1.674386615+1+1+4.099639638+1+1+1+1
